URL	Author	datePublished	claimReviewed	reviewBody	title	ratingValue	bestRating	alternativeName
httpsaosfatosorgnoticiasemontagemfotodebolsonarorodeadoporlideresmundiai	httpswwwaosfatosorg	2019-07-01	diss bolsonaro ficaria isolado g	tratas montagem foto veja aqui president jair bolsonaro sentado braço cruzado meio diverso lídere mundiai imagem origin publicada junho aparec americano donald trump	montagem foto bolsonaro rodeado lídere mundiai fato	1.0	5	falso
httpsapublicaorgtrucoblefesemeiasverdadesnafestadopmdb	httpsapublicaorg	2016-04-01	dia março dest ano partido complet ano luta favor povo brasileiro surgindo representant oposiçõ regim arbítrio instal	newton cardoso júnior pmdbmg deputado feder afirm pmdb complet ano luta favor povo brasileiro surgindo representant oposiçõ ditadura	blefe meiasverdad festa pmdb agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosprevidenciared	httpspiauifolhauolcombrlupa	2019-07-11 21:03:37	pensão mort aposentadoria atual salário reforma previdência salário dependent	empti	verificamo sete boato doi fato sobr reforma previdência rede sociai	4.0	6	verdadeiro
httpspiauifolhauolcombrlupaverificamosmorofortun	httpspiauifolhauolcombrlupa	2019-05-10 16:34:00	sérgio moro acaba escolhido décimoterceiro maior líder mundo americana fortun	empti	verificamo antiga notícia moro escolhido maior líder mundo fortun	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosmarinacarta	httpspiauifolhauolcombrlupa	2018-05-16 17:14:19	marina assina carta prol casamento homossexu	empti	verificamo marina assin carta prol casamento homossexu	4.0	6	falso
httpsapublicaorgtrucohaddadexageraebolsonaroerraemfrasessobreeducacao	httpsapublicaorg	2018-10-26	governo pt acabaram curso técnico ensino médio	jair bolsonaro psl entrevista rádio jovem pan afirm governo pt acabaram curso técnico ensino médio	haddad exagera bolsonaro erra frase sobr educação agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamospublicidadegoverno	httpspiauifolhauolcombrlupa	2019-03-15 14:58:54	valor orçado gasto ano governo bolsonaro verd r milhõ	empti	verificamo falso orçamento feder publicidad apena r milhõ	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoscubamedicina	httpspiauifolhauolcombrlupa	2018-11-20 18:40:51	raciocinem existem apena dua universidad medicina cuba	empti	verificamo cuba apena doi curso medicina	4.0	6	falso
httpsapublicaorgtrucooqueefalsoouverdadeiroemcorrentecontrabolsonaro	httpsapublicaorg	2018-10-18	bolsonaro contrat ilegalment esposa atual gabinet	corrent afirma bolsonaro contrat ilegalment esposa atual gabinet	falso verdadeiro corrent contra bolsonaro agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamosvideoliderislaameacasbrasil	httpspiauifolhauolcombrlupa	2018-12-20 18:20:34	vamo dominar terra infiéi diz líder religioso islã vídeo	empti	verificamo falso vídeo líder islã faz ameaça brasil crítica brasileiro	4.0	6	falso
httpsapublicaorgtrucodilmaelulaelevaramosinvestimentosemeducacao	httpsapublicaorg	2016-07-13	adversário pt reconhec nunca história vivemo período tanto investimento educação último ano	discurso senado dia julho senadora ngela portela ptrr afirm último ano governo feder passou destinar recurso educação	dilma lula elevaram investimento educação agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucoemfrasesdoscandidatosoqueecertoeerradosobreeducacao	httpsapublicaorg	2018-08-16	pesquisa científica brasil	jair bolsonaro psl afirm pesquisa científica brasil	frase candidato certo errado sobr educação agência pública	1.0	8	falso
httpsaosfatosorgnoticiaseumamontagemotweetdehaddadcomelogionicolasmaduro	httpswwwaosfatosorg	2018-10-16	haddad revolução acontec venezuela dúvida conquista deverá exemplo todo pais parabén maduro junto	tratas montagem tweet atribuído candidato presidência pt fernando haddad mostra mensagem apoio ditador venezuela nicolá maduro texto jamai publicado conta petista inclus twittou nada sobr venezuela	montagem tweet haddad elogio nicolá maduro fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosfreibettolula	httpspiauifolhauolcombrlupa	2019-05-02 19:20:14	frei beto amigo lula	empti	verificamo falso frei betto chamado lula oportunista caráter roda viva	4.0	6	falso
httpsaosfatosorgnoticiaspabllovittarjeanwyllysegilmarmendesnuncaprometeramdesistirdeprofissoescasobolsonarofosseeleito	httpswwwaosfatosorg	2018-10-29	ganhar gilmar mend saio stf ganhar ciro gome saio política ganhar pabllo vittar paro cantar ganhar jean wylli saio brasil	verdad ministro supremo tribunalfeder gilmar mend prometeu deixar cargo artista pabllo vittar prometeu parar cantar deputado jean wylli psolrj prometeu deixar brasil caso jair bolsonaro psl eleito montagem circula facebook recicla boato desmentido anteriorment	pabllo vittar jean wylli gilmar mend nunca prometeram parar trabalhar caso bolsonaro eleito fato	1.0	5	falso
httpsapublicaorgtrucobrasilfoiolocalquemaisrecebeuescravosnasamerica	httpsapublicaorg	2018-08-22	brasil paí continent americano recebeu maior fluxo africano escravizado século	ciro gome pdt afirm plano governo brasil local recebeu escravo américa	brasil local recebeu escravo américa agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucomensagemfalsadizquehaddadautorizoulivroinfantilquetratadeincesto	httpsapublicaorg	2018-10-09	livro estimula relação sexual pai filha disponibilizada ministro educação fernando haddad	corrent whatsapp afirma livro estimula relação sexual pai filha disponibilizado ministro educação fernando haddad	mensagem falsa diz haddad autoriz livro infantil trata incesto agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamosmanifestacaoeducacao	httpspiauifolhauolcombrlupa	2019-05-17 20:05:39	presença majoritária turma lula livr pt psol pcdob cut une mst outro lacaio comunista manifestinha hoje levam nota zero legitimidad	empti	foto faixa contra bolsonaro favor lula tirada manifestação dia maio	4.0	6	falso
httpsaosfatosorgnoticiaspromotoresemfotodeatoprodilmanaosaoosmesmosqueinvestigamflaviobolsonaro	httpswwwaosfatosorg	2019-01-22	lembra promotor mprj reúnem defesa dilma contra golp mesmo acusam flávio	verdad promotor ministério público rio janeiro responsávei investigaçõ sobr senador eleito flávio bolsonaro pslrj fotografado manifestação contra impeach expresident dilma rousseff pt foto acompanhado post rede sociai informação falsa mostra promotor procurador mina gerai ato público favor petista naquel estado	promotor foto ato pródilma mesmo investigam flávio bolsonaro fato	1.0	5	falso
httpsaosfatosorgnoticiasefalsoquerevistadebagagensadotadaporbolsonaropermitiuprisaodemilitarcomcocaina	httpswwwaosfatosorg	2019-07-03	durant governo lula dilma temer aviõ transportavam homen comitiva presidenci bem tripulação permissão itamarati serem revistado sargento preso espanha kg cocaína contain mão havia participado voo preparação president lula presidenta dilma temer preso agora porqu comunicação prévia governo bolsonaro retir inviolabilidad bagagen diplomática comitiva presidenciai imprensa informa	verdad governo bolsonaro suspendeuuma normaqu impedia revista bagagen voo presidenciai militar brasileiromanoel silva rodrigu presoapó flagrado quilo cocaína malana espanha semana passada além tal regra nunca ter existido segundosargento integrava comitiva presidentefoi preso fiscai aduaneiro espanhói	falso revista bagagen adotada bolsonaro permitiu prisão militar cocaína fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosfurnaoncadeputado	httpspiauifolhauolcombrlupa	2018-11-22 14:56:31	sozinho luiz martin cargo comissionado detran	empti	verificamo falso deputado alvo operação furna onça ptrj	4.0	6	inconclusivo
httpspiauifolhauolcombrlupaverificamoslivrocristaisbibliafundomar	httpspiauifolhauolcombrlupa	2019-06-25 10:34:38	bíblia encontrada fundo oceano ainda intacta legível	empti	verificamo livro cristai foto bíblia resgatada fundo mar	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosefalsoqueemlulaentrounorankingforbesdosmaisricosdomundo	httpspiauifolhauolcombrlupa	2019-04-02 17:54:10	fortuna lula u bilhõ segundo revista forb	empti	verificamo falso lula entrou rank forb rico mundo	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosenemaovivo	httpspiauifolhauolcombrlupa	2018-11-03 12:30:15	nota enem serv faculdad estrangeira	empti	verificamosenem checamo vivo informaçõ circulam rede	4.0	6	falso
httpsapublicaorgtrucodadosfalsoseomissoesmarcamestatutodoarmamento	httpsapublicaorg	2017-10-27	taxa homicídio arma fogo eua cada mil habitant enquanto brasil mil habitant dado	justificativa projeto estatuto armamento senador wilder morai ppgo afirm taxa homicídio arma fogo eua cada mil habitant enquanto brasil mil habitant	dado falso omissõ marcam estatuto armamento agência pública	1.0	8	falso
httpsaosfatosorgnoticiasfotosdesaoatribuidasempostsmanifestacaoprobolsonarodedomingo	httpswwwaosfatosorg	2019-05-27	brasilnasrua vitória agora pouco capixaba mostrando canalha sempr impedirão reconstrução paí	imagen constam internet desd outubro ano passado sido disseminada manifestação favor governo bolsonaro vitória espírito santo domingo fato identific registro constam site perfi meno desd outubro indica serem passeata bolsonaro realizada capit capixaba ant segundo turno eleiçõ presidenciai	foto atribuída post manifestação próbolsonaro domingo fato	1.0	5	falso
httpsaosfatosorgnoticiashaddadnaoprometeufazerlulapresidentedobrasilapospassarparaosegundoturno	httpswwwaosfatosorg	2018-10-09	andrad deixa escapar confessa lula verdadeiro president caso vitória	tuít viraliz noit desta segundafeira dá base texto site diário brasil tira contexto apresenta novo vídeo antigo candidato petista presidência fernando haddad imagen gravada agosto expresident lula ainda candidato presidência pt então candidato vicepresident haddad afirma irá trabalhar fazer lula president subir rampa dia janeirono twitter texto acompanha vídeo editado afirma imagen gravada nesta segundafeira falso vídeo cerca mil visualizaçõ replicada veze título diário brasil afirma haddad confessa lula verdadeiro president caso vitória falso facebook link compartilhado veze	haddad prometeu fazer lula president apó passar segundo turno fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoscapasrevistasoeaicaza	httpspiauifolhauolcombrlupa	2018-09-29 12:25:47	gerardo icaza diretor oea admitiu negociação fraudar urna eletrônica colaborar pt	empti	verificamo falsa capa revista diretor oea reconhecendo fraud urna	4.0	6	falso
httpsaosfatosorgnoticiasusodecamisetacominscricaodecandidatonaoanulavoto	httpswwwaosfatosorg	2018-10-07	vá votar camiseta amarela outra cor qualquer possa identificar bolsonariano poi logo votar mesário podem colocar n lado assinatura votou bolsonaro assim anular voto	além indício mesário estariam articulando anular voto eleitor candidato psl inclusão número assinatura crime passível prisão multa gera anulação voto	uso camiseta inscrição candidato anula voto fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoschuvarjlixo	httpspiauifolhauolcombrlupa	2019-02-07 16:39:29	mulher joga lixo rua durant chuva rio janeiro fácil concentrar culpa prefeitura natureza	empti	verificamo vídeo mulher jogando lixo rua gravado durant chuva rj	4.0	6	falso
httpsapublicaorgbrasilpagavolumedejurosmaiorqueoutrospais	httpsapublicaorg	2016-11-30	preciso destacar outra naçõ mundo tão endividada endividada brasil administram forma competent dívida pública promovendo impacto menor economia	segundo senador alvaro dia pvpr país endividado brasil administram melhor dívida	brasil paga volum juro maior outro país agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucobolsonaroehaddaderramdadossobresegurancapublica	httpsapublicaorg	2018-10-25	polici hoje precisa esperar bandido atirar reagir	jair bolsonaro psl entrevista sbt afirm polici hoje precisa esperar bandido atirar reagir	bolsonaro haddad erram dado sobr segurança pública agência pública	1.0	8	falso
httpsaosfatosorgnoticiasefalsoquemanifestanteesfaqueoupolicialdurantegrevegeralemsp	httpswwwaosfatosorg	2019-06-14	polici esfaqueada grevista prólulamanifestant esquerdista agrid pm feminina facada pescoçomanifestação paulo baderneiro ataca polici faca ating pescoço polici passa bem vagabundo abatido	verdad manifestant participava greve geral nesta sextafeira esfaqu polici paulo vídeo embasa publicaçõ rede sociai desinformação veja exemplo aqui mostra crime ocorrido nesta quartafeira mogi cruze grand sp qualquer relação protestosna realidad polícia acionada conter marcelo nogueira ano estaria atirando pedra contra empresa automóvei via expressa mogi segundo boletim ocorrência tentar imobilizálo disparo arma choqu tenent beatriz marandola surpreendida nogueira desferiu facada pescoço outro policiai atiraram contra homem morreu local tenent socorrida levada hospit passa bem	falso manifestant esfaqu polici durant greve geral sp fato	1.0	5	falso
httpsapublicaorgtrucochecamosapolemicametafiscaldetem	httpsapublicaorg	2016-06-03	senhor sabem déficit trê primeiro mese ano janeiro fevereiro março quinz bilhõ sabem previsão abril cinco bilhõ quatro primeiro mese dest ano déficit vai bilhõ colocam bilhõ outro oito mese crescimento	senador lindbergh faria ptrj afirm déficit trê primeiro mese ano r bilhõ previsão abril r bilhõ governo temer gastará r bilhõ outro oito mese crescimento	checamo polêmica meta fiscal temer agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamosmariellefiliadopt	httpspiauifolhauolcombrlupa	2019-03-28 18:38:21	engraçado descoberto assassino mariel pt parec finalment morreu ninguém fala nada	empti	verificamo suspeito assassinar mariel franco filiado pt	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosdecretocarnavalmobilizacao	httpspiauifolhauolcombrlupa	2019-02-26 13:18:41	president república decreta mobilização nacion devendo apresentar todo homen brasileiro dezoito sessenta ano idad independent estado civil h dia março sextafeira treinamento militar caráter sigiloso término dia março quartafeira cinza	empti	verificamo falso brincadeira carnav decreto bolsonaro convoca treinamento militar	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosmaiachilebrasileiro	httpspiauifolhauolcombrlupa	2019-03-25 17:38:16	rodrigo maia nasceu brasil	empti	verificamo falso rodrigo maia pode presidir câmara porqu nasceu chile	4.0	6	verdadeiro
httpspiauifolhauolcombrlupaverificamosroraima	httpspiauifolhauolcombrlupa	2018-08-27 15:00:38	venezuelano mataram homem paulada roubar têni	empti	verificamo texto imagen sobr crise migratória roraima misturam dado certo errado	4.0	6	verdadeiro
httpsapublicaorgtrucojoaoamoedousadadofalsosobrehomicidiosefazcomparacaodistorcida	httpsapublicaorg	2018-05-03	gent produz vai governo	entrevista el paí presidenciável joão amoêdo novo afirm gent produz vai governo	joão amoêdo usa dado falso sobr homicídio faz comparação distorcida agência pública	5.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosrodrigobolsonaro	httpspiauifolhauolcombrlupa	2019-02-01 17:08:04	dada largada rodrigo santoro	empti	verificamo falsa imagem mostra rodrigo santoro segurando papel escrito bolsonaro	4.0	6	falso
httpsapublicaorgtrucoalexandredemoraesacertaaumentodeprisoesaposleidedroga	httpsapublicaorg	2017-02-21	infelizment alteração legislativa ficou meio caminho despenaliz usuário droga descriminaliz invé diminuir número prisõ passou aumentar porqu passous tipificar usuário ficava naquela linha tênue usuário pequeno traficant vend sustentar vício	sabatina causa indicação stf ministro justiça licenciado alexandr mora afirm lei droga abriu caminho usuário detido pequeno traficant aumentando número prisõ tráfico	alexandr mora acerta aumento prisõ apó lei droga agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucofrasesquemostramopoderdecunha	httpsapublicaorg	2016-05-20	entrei mandado segurança hoje supremo tribun feder contra ato mesa tomado forma açodada forma irregular reunião existiu sob presidência vicepresident waldir maranhão estabelecida prerrogativa descabida deputado afastado presidência câmara mandato	deputado feder josé carlo aleluia demba afirm entrou mandado segurança supremo tribun feder contra ato mesa tomado forma irregular estabelecida prerrogativa deputado afastado eduardo cunha	frase mostram poder cunha agência pública	4.0	8	falso
httpsaosfatosorgnoticiasefalsoquedecretodebolsonarocortouverbasparacarnavaleparadaslgbti	httpswwwaosfatosorg	2019-01-04	olinda salvador rio janeiro president jair bolsonaro assina decreto cortando verba carnav parada gay todo brasil decreto cancela carnav	consulta diário ofici união fato constat publicado qualquer decreto propósito desd novo president assumiu cargo última terçafeira governo anterior carnav parada lgbti receberam incentivo meio aport direto ministério turismo autorização captação recurso via lei rouanet	falso decreto bolsonaro cortou verba carnav parada lgbti fato	1.0	5	falso
httpsapublicaorgtrucoerroseacertosdoscandidatosemfrasessobresaud	httpsapublicaorg	2018-08-15	milhõ brasileiro têm su porta acesso saúd	ciro gome pdt entrevista rádio bandeirant afirm milhõ brasileiro têm su porta acesso saúd	erro acerto candidato frase sobr saúd agência pública	4.0	8	falso
httpsapublicaorgtrucohaddadnaocriouokitgay	httpsapublicaorg	2018-10-11	haddad criou kit gay	presidenciável jair bolsonaro psl afirm adversário fernando haddad pt criou kit gay	haddad criou kit gay agência pública	1.0	8	falso
httpsapublicaorgtrucosecretarioerraaodizerquesptemmelhoresindicadorescriminaisdopai	httpsapublicaorg	2017-03-17	estado paulo continua tendo melhor indicador criminai paí	entrevista coletiva mágino alv barbosa filho secretário estadu segurança pública paulo afirm estado paulo continua ter melhor indicador criminai paí ocasião divulgado dado sobr crime registrado janeiro	secretário erra dizer sp melhor indicador criminai paí agência pública	1.0	8	falso
httpsapublicaorgtrucoblefesemeiasverdadesnafestadopmdb	httpsapublicaorg	2016-04-01	quartafeira dia romper governo partido promoveu sessão solen câmara celebrar aniversário ano checamo quatro frase dita comemoração janeiro tore medeiro maurício mora diant tempestad pmdb sempr mostra porto seguro apesar grand diversidad corrent	president câmara eduardo cunha pmdbrj diss apesar ter diversa corrent pmdb sempr mostrou porto seguro	blefe meiasverdad festa pmdb agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamosvilaitalia	httpspiauifolhauolcombrlupa	2018-06-07 16:01:03	vila itália oferec mil euro quiser mudar lá	empti	verificamo vila itália oferec mil euro quiser mudar lá	4.0	6	falso
httpsapublicaorgtrucodeputadoblefaaoacusarlulaedilmadegastarodobrodareceita	httpsapublicaorg	2016-06-28	governo gastou mínimo dua veze receita último oito ano	discurso câmara dia deputado feder darcísio perondi pmdbr afirm governo gastou mínimo dua veze receita último oito ano	deputado blefa acusar lula dilma gastar dobro receita agência pública	1.0	8	falso
httpsapublicaorgtrucoeymaelexageradadosobrecriancasejovenscomdeficiencia	httpsapublicaorg	2018-09-18	hoje cerca criança joven portador deficiência	josé maria eymael dc entrevista rádio cbn afirm hoje brasil cerca criança joven portador deficiência	eymael exagera dado sobr criança joven deficiência agência pública	4.0	8	falso
httpsapublicaorgtrucoverdadesementirasmisturamseemcorrentecontrahaddad	httpsapublicaorg	2018-10-18	haddad réu improbidad ação apura prejuízo milionário construção ciclovia	corrent circula whatsapp diz haddad réu improbidad ação apura prejuízo milionário construção ciclovia	verdad mentira misturams corrent contra haddad agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucohaddadexageraperiodoemquegovernosdoptgeraramsuperavitfisc	httpsapublicaorg	2018-09-27	nunca regra teto gasto passamo ano gerando superávit	fernando haddad pt entrevista revista carta capit afirm nunca teto gasto passamo ano gerando superávit	haddad exagera período governo pt geraram superávit fiscal agência pública	4.0	8	falso
httpsaosfatosorgnoticiasdamaresnaorevogaraleimariadapenhanemdissequetextoedodiabo	httpswwwaosfatosorg	2019-05-15	pressão bancada evangélica lei maria penha revogada ministra damar	falsa informação ministra mulher família direito humano damar alv pretend revogar lei maria penha visa proteg mulher vítima violência doméstica além ter poder revogar lei feder damar mostrou favorável texto	damar revogará lei maria penha diss texto ‘ diabo ’ fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosfotoatrizesleirouanetmanifestacao	httpspiauifolhauolcombrlupa	2018-09-30 22:37:56	dinheiro imagem	empti	verificamo montada foto mostra quatro atriz defendendo lei rouanet manifestação	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoshaddadford	httpspiauifolhauolcombrlupa	2019-02-22 16:23:04	ford deixaram manu manuela dvila fernando haddad discursarem grito mito mito	empti	falso haddad manuela vaiado fábrica ford	4.0	6	falso
httpsapublicaorgtrucooitaindaanalisadenunciasobrereformatrabalhista	httpsapublicaorg	2018-06-29	direito trabalhista têm proteção constitucion podem retirado reforma trabalhista reforma própria constituição	ministro trabalho helton yomura afirm direito trabalhista têm proteção constitucion podem retirado reforma trabalhista reforma própria constituição	oit ainda analisa denúncia sobr reforma trabalhista agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamosmilhoesdesempregado	httpspiauifolhauolcombrlupa	2019-04-15 14:29:02	trê mese governo bolsonaro nenhum projeto combat desemprego feito brasil	empti	verificamo brasil milhõ desempregado	4.0	6	falso
httpsapublicaorgtrucomeirellesrecebeurmilhoesnocargomasrepassenaoeirregular	httpsapublicaorg	2017-08-04	henriqu meirel recebeu r milhõ jb ministro fazenda irregular	discurso durant votação denúncia contra michel temer câmara deputado feder carlo zarattini ptsp líder pt afirm henriqu meirel recebeu r milhõ jb r milhõ dess r milhõ exercício cargo ministro fazenda irregular	meirel recebeu r milhõ cargo repass irregular agência pública	1.0	8	falso
httpsaosfatosorgnoticiaslulanaoedonodeadegamostradaemvideo	httpswwwaosfatosorg	2019-03-26	querem conhec adega ex president lula tirou milhõ pobreza	vídeo mostra adega durski curitiba vinho nela armazenado circula rede sociai local pertencess expresident luiz inácio lula silva verdad	lula dono adega mostrada vídeo fato	1.0	5	falso
httpsapublicaorgtrucomarinasilvausadadoinexistentesobreleitosociososnosu	httpsapublicaorg	2018-09-20	hoje leito ocioso su	marina silva rede entrevista g cbn afirm hoje exemplo leito ocioso su	marina silva usa dado inexistent sobr leito ocioso su agência pública	2.0	8	inconclusivo
httpsapublicaorgtrucobolsonaronaodenunciouaumentodeenergiaegasolina	httpsapublicaorg	2017-09-27	bolsonaro alert reajust energia elétrica gasolina	corrent circula whatsapp afirma deputado feder précandidato presidência jair bolsonaro pscrj afirm energia elétrica reajust gasolina aumento	bolsonaro denunci aumento energia gasolina agência pública	1.0	8	falso
httpsapublicaorgtrucoerrosdochefedabancadaruralista	httpsapublicaorg	2017-09-15	incra abriu inúmero assentamento aliá desmat amazônia história brasil incra	entrevista deutsch well chefe bancada ruralista deputado feder nilson leitão psdbmt afirm incra órgão desmat brasil	erro chefe bancada ruralista agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamostrumpbolsonarooutdoor	httpspiauifolhauolcombrlupa	2019-03-20 15:54:59	vai vendo time squar agora pouco esquerdalha toda coçando raiva	empti	verificamo falsa imagem mostra trump bolsonaro outdoor digit	4.0	6	falso
httpsaosfatosorgnoticiaspapafrancisconaocanceloubibliaeproposnovolivro	httpswwwaosfatosorg	2019-04-25	papa francisco cancela bíblia propõ criar novo livro	falsa notícia papa francisco cancelado bíblia crer obra desatualizada dia atuai igreja deveria substituíla outro livro desinformação surgiu piada site satírico eua logo passou difundida verdad rede sociai fato vaticano negou veracidad dessa informaçõ	papa francisco cancel bíblia propô novo livro fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosoeareunioesestranhassecretaspt	httpspiauifolhauolcombrlupa	2018-10-28 17:45:23	estranho observador processo eleitor oea reunirem osmembro pt liderado haddad	empti	verificamo falso oea mantev reuniõ estranha secreta pt	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosroraima	httpspiauifolhauolcombrlupa	2018-08-27 15:00:38	venezuelano agrediram única médica plantonista única maternidad boa vista fazendo assim saíssem assustada fazer boletim ocorrência resultando bebê morto ventr mãe	empti	verificamo texto imagen sobr crise migratória roraima misturam dado certo errado	4.0	6	falso
httpsapublicaorgtrucochecamosargumentosproecontraoimpeach	httpsapublicaorg	2016-04-14	juízo admissibilidad apena reconhecimento fato exist autoria merec objeto julgamento senado	miguel real júnior jurista coautor pedido impeach dilma rousseff diss tramitação impeach única atribuição câmara decidir indício crime responsabilidad justifiquem envio pedido senado	checamo argumento pró contra impeach agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucooitaindaanalisadenunciasobrereformatrabalhista	httpsapublicaorg	2018-06-29	brasil incluído lista suja organização internacion trabalho oit	senadora ngela portela pdtrr afirm brasil incluído lista suja organização internacion trabalho oit	oit ainda analisa denúncia sobr reforma trabalhista agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamosbolsonarodispensavoto	httpspiauifolhauolcombrlupa	2018-08-29 13:04:36	bolsonaro acab dizer entrevista precisa voto mulher lgbt negro	empti	verificamo bolsonaro diss entrevista dispensa voto mulher negro lgbt	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosvideogenteemborabrumadinho	httpspiauifolhauolcombrlupa	2019-02-04 18:09:16	dono pousada brumadinho morreu soterrado lama	empti	verificamo vídeo intitulado gent vai embora dono pousada brumadinho	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoscutsuicidio	httpspiauifolhauolcombrlupa	2019-02-05 16:35:55	lula solto vamo comet suicídio bolsominion culpado	empti	verificamo antiga adulterada foto manifestant cut faixa sobr suicídio	4.0	6	falso
httpsaosfatosorgnoticiaspatricialelisnaodenunciouglauberbragaporagressaoeameaca	httpswwwaosfatosorg	2019-07-11	ué tal glauber braga chamou moro ladro então quer dizer além bater mulher ameaçava liberar foto íntima segundo feminazi leli patricia	verdad deputado feder glauber braga psolrj sido acusado agressão ameaça vazamento foto íntima jornalista patrícia léli desinformação circul rede primeira vez dezembro criada partir boletim ocorrência falso tweet vídeo jornalista retirado contexto além disso tanto léli quanto braga negam publicament acusaçõ	patrícia léli denunci glauber braga agressão ameaça fato	1.0	5	falso
httpsapublicaorgtrucopaisestaodesiguaiscomoobrasiltemviolenciamenor	httpsapublicaorg	2018-10-05	país tão desiguai têm violência tão grand	fernando haddad candidato presidência pt diss entrevista revista carta capit país tão desiguai têm violência tão grand	país tão desiguai brasil têm violência menor agência pública	8.0	8	verdadeiro
httpspiauifolhauolcombrlupaverificamosfranciscanoslula	httpspiauifolhauolcombrlupa	2019-05-09 16:28:58	franciscano rua curitiba apoio president lula	empti	verificamo foto franciscano feita ato contra reforma trabalhista apoio lula	4.0	6	falso
httpsapublicaorgtrucosenadordefendefimdohorariodeveraocomexageroedadoinexistent	httpsapublicaorg	2018-03-02	número infarto aumenta horário verão	projeto lei defend fim horário verão senador airton sandov mdbsp afirm número infarto aumenta medida	senador defend fim horário verão exagero dado inexistent agência pública	4.0	8	falso
httpsaosfatosorgnoticiasefalsoquefuncionarioregistroupresencadedeputadosausentesnacamara	httpswwwaosfatosorg	2019-06-12	funcionário congresso registrando presença deputado trabalhar	verdad funcionário congresso nacion flagrado vídeo registrando presença deputado ausent afirmam publicaçõ rede sociai veja aqui gravação feita parlamento ucrânia mostra congressistacolocando ficha votação sobr mesa colega	falso funcionário registr presença deputado ausent câmara fato	1.0	5	falso
httpsaosfatosorgnoticiasefalsoqueprimeiradamapediuaogovernoenviodeveterinariospararesgataranimaisembrumadinho	httpswwwaosfatosorg	2019-01-28	pedi olho cheio lágrima ministro agricultura envio veterinário cuidar animai sendo esquecido disponibiliz cerca médico veterinário brumadinho dando auxílio	além postagem perfil falso michel bolsonaro falsa informação primeiradama pediu ministério agricultura envio veterinário cuidar animai vítima desastr brumadinho mg ministério nega recebido qualquer tipo pedido semelhant	falso primeiradama pediu governo envio veterinário resgatar animai brumadinho fato	1.0	5	falso
httpsapublicaorgtrucohaddadexageracrescimentodeverbadoministeriodaeducacao	httpsapublicaorg	2018-09-24	participei governo lula ministro educação veja ministério educação quas quintuplic verba período	fernando haddad pt encontro estudant paulo afirma ministério educação quas quintuplic verba gestão	haddad exagera crescimento verba ministério educação agência pública	4.0	8	falso
httpsapublicaorgtrucomarinasilvausadadosfalsoseimprecisosemdiscurso	httpsapublicaorg	2017-12-19	reduzimo desmatamento paí crescia	précandidata presidência marina silva rede afirm responsável redução desmatamento paí crescia cerca ano	marina silva usa dado falso impreciso discurso agência pública	3.0	8	falso
httpsaosfatosorgnoticiasefalsoquefernandohaddaddefendeuemlivrosexoentrepaisefilho	httpswwwaosfatosorg	2018-10-15	haddad escreveu livro defend incesto	livro olavo fez referência defesa socialismo publicado editora voze petrópoli anális teórica breve página sobr manifesto comunista karl marx friederich engel lançado comemoração ano manifesto fato acesso íntegra obra nesta segundafeira pôde constatar nenhum trecho livro cita incesto qualquer ideia promova sexo familiar dissolução família nuclear	falso fernando haddad defendeu livro sexo pai filho fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosdilmarousseffsalaobeleza	httpspiauifolhauolcombrlupa	2019-04-10 14:38:50	dilma gastou dinheiro r milhõ salão beleza	empti	verificamo falso dilma rousseff gastou r milhõ salão beleza	4.0	6	falso
